table_id,node,namespace,pod,container,cmdline,stack_trace_id,stack_trace,count,count_x,scaling_factor,percent
Flamegraph,gke-pixiecluster-default-pool-b59132dc-2x5s,pl,pl/kelvin-7495f9b9f7-4jmql,app,/app/src/vizier/services/agent/kelvin/kelvin,14702,"[m] /lib/x86_64-linux-gnu/libc.so.6 + 0x00094b43;worker;px::vizier::agent::ExecuteQueryMessageHandler::ExecuteQueryTask::Work();px::carnot::CarnotImpl::ExecutePlan(px::carnot::planpb::Plan const&, sole::uuid const&, bool);px::carnot::plan::PlanWalker::Walk(px::carnot::plan::Plan*);std::_Function_handler<px::Status (px::carnot::plan::PlanFragment*), px::carnot::CarnotImpl::ExecutePlan(px::carnot::planpb::Plan const&, sole::uuid const&, bool)::$_8>::_M_invoke(std::_Any_data const&, px::carnot::plan::PlanFragment*&&);px::carnot::exec::ExecutionGraph::Execute();px::carnot::exec::ExecutionGraph::ExecuteSources();px::carnot::exec::ExecNode::GenerateNext(px::carnot::exec::ExecState*);px::carnot::exec::GRPCSourceNode::GenerateNextImpl(px::carnot::exec::ExecState*);px::carnot::exec::ExecNode::SendRowBatchToChildren(px::carnot::exec::ExecState*, px::table_store::schema::RowBatch const&);px::carnot::exec::ExecNode::ConsumeNext(px::carnot::exec::ExecState*, px::table_store::schema::RowBatch const&, unsigned long);px::carnot::exec::AggNode::ConsumeNextImpl(px::carnot::exec::ExecState*, px::table_store::schema::RowBatch const&, unsigned long);px::carnot::exec::AggNode::AggregateGroupByClause(px::carnot::exec::ExecState*, px::table_store::schema::RowBatch const&);px::carnot::exec::AggNode::ConvertAggHashMapToRowBatch(px::carnot::exec::ExecState*, px::table_store::schema::RowBatch*);px::carnot::exec::AggNode::EvaluateAggHashValue(px::carnot::exec::ExecState*, px::carnot::exec::AggHashValue*);px::carnot::plan::ExpressionWalker<px::StatusOr<std::shared_ptr<px::types::ColumnWrapper> > >::Walk(px::carnot::plan::ScalarExpression const&);px::carnot::plan::ExpressionWalker<px::StatusOr<std::shared_ptr<px::types::ColumnWrapper> > >::Walk(px::carnot::plan::ScalarExpression const&);px::carnot::plan::ExpressionWalker<px::StatusOr<std::shared_ptr<px::types::ColumnWrapper> > >::CallWalkFn(px::carnot::plan::ScalarExpression const&, std::vector<px::StatusOr<std::shared_ptr<px::types::ColumnWrapper> >, std::allocator<px::StatusOr<std::shared_ptr<px::types::ColumnWrapper> > > >);px::StatusOr<px::StatusOr<std::shared_ptr<px::types::ColumnWrapper> > > px::carnot::plan::ExpressionWalker<px::StatusOr<std::shared_ptr<px::types::ColumnWrapper> > >::CallAs<px::carnot::plan::Column, std::function<px::StatusOr<std::shared_ptr<px::types::ColumnWrapper> > (px::carnot::plan::Column const&, std::vector<px::StatusOr<std::shared_ptr<px::types::ColumnWrapper> >, std::allocator<px::StatusOr<std::shared_ptr<px::types::ColumnWrapper> > > > const&)> >(std::function<px::StatusOr<std::shared_ptr<px::types::ColumnWrapper> > (px::carnot::plan::Column const&, std::vector<px::StatusOr<std::shared_ptr<px::types::ColumnWrapper> >, std::allocator<px::StatusOr<std::shared_ptr<px::types::ColumnWrapper> > > > const&)> const&, px::carnot::plan::ScalarExpression const&, std::vector<px::StatusOr<std::shared_ptr<px::types::ColumnWrapper> >, std::allocator<px::StatusOr<std::shared_ptr<px::types::ColumnWrapper> > > >);px::StatusOr<px::StatusOr<std::shared_ptr<px::types::ColumnWrapper> > >::StatusOr(px::StatusOr<std::shared_ptr<px::types::ColumnWrapper> >&&);free",1,109547,4,0.0036514
Flamegraph,gke-pixiecluster-default-pool-b59132dc-2x5s,default,default/hello-7b456c68b8-kdchm,hello,/hello-app,13981,0x00007ffd5a8beff0;0x00007f06d382b2a0;runtime.mstart.abi0;runtime.mstart0;runtime.mstart1;runtime.sysmon;runtime.notetsleep;runtime.notetsleep_internal;runtime.futexsleep,1,109547,4,0.0036514
Flamegraph,gke-pixiecluster-default-pool-b59132dc-2x5s,default,default/loadgen-7887ff478c-82pff,loadgen,node main.js,15105,0x6e7973615f5f7675;__libc_write;[k] kretprobe_trampoline;[k] trampoline_handler;[k] __kretprobe_trampoline_handler;[k] _raw_spin_unlock_irqrestore,1,109547,4,0.0036514
Flamegraph,gke-pixiecluster-default-pool-b59132dc-2x5s,default,default/hello-7b456c68b8-kdchm,hello,/hello-app,15490,runtime.goexit.abi0;runtime.main;main.main;net/http.(*Server).ListenAndServe;net/http.(*Server).Serve;net/http.(*onceCloseListener).Accept;net.(*TCPListener).Accept;net.(*TCPListener).accept;net.(*netFD).accept;runtime.newobject;runtime.mallocgc,1,109547,4,0.0036514
Flamegraph,gke-pixiecluster-default-pool-b59132dc-2x5s,default,default/hello-7b456c68b8-kdchm,hello,/hello-app,13999,runtime.goexit.abi0;runtime.main;main.main;net/http.(*Server).ListenAndServe;net/http.(*Server).Serve;net/http.(*onceCloseListener).Accept;net.(*TCPListener).Accept;net.(*TCPListener).accept;net.setKeepAlive;internal/poll.(*FD).SetsockoptInt;syscall.setsockopt;syscall.Syscall6;runtime/internal/syscall.Syscall6;[k] entry_SYSCALL_64_after_hwframe;[k] __noinstr_text_start;[k] __x64_sys_setsockopt;[k] __sys_setsockopt;[k] sock_setsockopt;[k] sk_reset_timer;[k] __mod_timer;[k] _raw_spin_unlock_irqrestore,1,109547,4,0.0036514
Flamegraph,gke-pixiecluster-default-pool-b59132dc-2x5s,kube-system,kube-system/fluentbit-gke-lttnx,fluentbit,/fluent-bit/bin/fluent-bit -c /fluent-bit/etc/fluent-bit.conf,13643,start_thread;flb_lib_worker;flb_engine_start;flb_input_collector_fd;tail_fs_event;in_tail_collect_event;flb_tail_file_chunk;flb_tail_db_file_offset;sqlite3_step;sqlite3Step;sqlite3VdbeExec;sqlite3BtreeBeginTrans;lockBtree;btreeGetPage;sqlite3PagerGet;getPageNormal;sqlite3PcacheFetch;pcache1Fetch;pcache1FetchNoMutex,2,109547,4,0.0073028
Flamegraph,gke-pixiecluster-default-pool-b59132dc-2x5s,kube-system,kube-system/gke-metrics-agent-l6dbq,gke-metrics-agent,/otelsvc --config=/conf/gke-metrics-agent-config.yaml --metrics-prefix= --log-profile=prod --log-format=json --metrics-addr=localhost:8200,13745,runtime.goexit;go.opencensus.io/stats/view.(*worker).start;go.opencensus.io/stats/view.(*recordReq).handleCommand;go.opencensus.io/stats/view.(*viewInternal).addSample;go.opencensus.io/stats/view.encodeWithKeys;runtime.makeslice;runtime.mallocgc;runtime.systemstack;runtime.gcAssistAlloc.func1;runtime.gcAssistAlloc1;runtime.gcDrainN;runtime.scanobject;runtime.findObject,1,109547,4,0.0036514
Flamegraph,gke-pixiecluster-default-pool-b59132dc-2x5s,pl,pl/vizier-pem-sw42s,pem,/app/src/vizier/services/agent/pem/pem,15419,"std::thread::_State_impl<std::thread::_Invoker<std::tuple<void (px::stirling::StirlingImpl::*)(), px::stirling::StirlingImpl*> > >::~_State_impl();0x00000000079bcd00;execute_native_thread_routine;px::stirling::StirlingImpl::RunCore();px::stirling::ProcessStatsConnector::TransferProcessStatsTable(px::stirling::ConnectorContext*, px::stirling::DataTable*);px::system::ProcParser::ParseProcPIDStat(int, long, long, px::system::ProcParser::ProcessStats*) const;absl::lts_20211102::strings_internal::Splitter<absl::lts_20211102::ByString, absl::lts_20211102::SkipWhitespace, std::basic_string_view<char, std::char_traits<char> > >::ConvertToContainer<std::vector<std::basic_string_view<char, std::char_traits<char> >, std::allocator<std::basic_string_view<char, std::char_traits<char> > > >, std::basic_string_view<char, std::char_traits<char> >, false>::operator()(absl::lts_20211102::strings_internal::Splitter<absl::lts_20211102::ByString, absl::lts_20211102::SkipWhitespace, std::basic_string_view<char, std::char_traits<char> > > const&) const;void std::vector<std::basic_string_view<char, std::char_traits<char> >, std::allocator<std::basic_string_view<char, std::char_traits<char> > > >::_M_range_insert<absl::lts_20211102::strings_internal::Splitter<absl::lts_20211102::ByString, absl::lts_20211102::SkipWhitespace, std::basic_string_view<char, std::char_traits<char> > >::ConvertToContainer<std::vector<std::basic_string_view<char, std::char_traits<char> >, std::allocator<std::basic_string_view<char, std::char_traits<char> > > >, std::basic_string_view<char, std::char_traits<char> >, false>::operator()(absl::lts_20211102::strings_internal::Splitter<absl::lts_20211102::ByString, absl::lts_20211102::SkipWhitespace, std::basic_string_view<char, std::char_traits<char> > > const&) const::raw_view*>(__gnu_cxx::__normal_iterator<std::basic_string_view<char, std::char_traits<char> >*, std::vector<std::basic_string_view<char, std::char_traits<char> >, std::allocator<std::basic_string_view<char, std::char_traits<char> > > > >, absl::lts_20211102::strings_internal::Splitter<absl::lts_20211102::ByString, absl::lts_20211102::SkipWhitespace, std::basic_string_view<char, std::char_traits<char> > >::ConvertToContainer<std::vector<std::basic_string_view<char, std::char_traits<char> >, std::allocator<std::basic_string_view<char, std::char_traits<char> > > >, std::basic_string_view<char, std::char_traits<char> >, false>::operator()(absl::lts_20211102::strings_internal::Splitter<absl::lts_20211102::ByString, absl::lts_20211102::SkipWhitespace, std::basic_string_view<char, std::char_traits<char> > > const&) const::raw_view*, absl::lts_20211102::strings_internal::Splitter<absl::lts_20211102::ByString, absl::lts_20211102::SkipWhitespace, std::basic_string_view<char, std::char_traits<char> > >::ConvertToContainer<std::vector<std::basic_string_view<char, std::char_traits<char> >, std::allocator<std::basic_string_view<char, std::char_traits<char> > > >, std::basic_string_view<char, std::char_traits<char> >, false>::operator()(absl::lts_20211102::strings_internal::Splitter<absl::lts_20211102::ByString, absl::lts_20211102::SkipWhitespace, std::basic_string_view<char, std::char_traits<char> > > const&) const::raw_view*, std::forward_iterator_tag)",1,109547,4,0.0036514
Flamegraph,gke-pixiecluster-default-pool-b59132dc-2x5s,default,default/loadgen-7887ff478c-82pff,loadgen,node main.js,3259,0x0d4b4f2030303220;__read;[k] kretprobe_trampoline;[k] trampoline_handler;[k] __kretprobe_trampoline_handler;[k] _raw_spin_unlock_irqrestore,1,109547,4,0.0036514
Flamegraph,gke-pixiecluster-default-pool-b59132dc-2x5s,kube-system,kube-system/fluentbit-gke-lttnx,fluentbit,/fluent-bit/bin/fluent-bit -c /fluent-bit/etc/fluent-bit.conf,13859,start_thread;flb_lib_worker;flb_engine_start;flb_input_collector_fd;tail_fs_event;in_tail_collect_event;flb_tail_file_chunk;process_content;flb_input_chunk_append_raw;flb_filter_do;cb_parser_filter;flb_parser_do;flb_parser_json_do;flb_pack_json_recs;pack_json_to_msgpack;flb_calloc,1,109547,4,0.0036514
